Temperature[K]	den	cp	lambda	h
468	0.750097402	36.01504262	0.033058762	51.56530954
469	0.748439206	36.01073655	0.033148926	51.60132241
470	0.746788805	36.00669989	0.033239309	51.6373311
471	0.745146137	36.00292696	0.03332991	51.67333589
472	0.74351114	35.99941222	0.033420726	51.70933704
473	0.741883754	35.99615027	0.033511758	51.7453348
474	0.740263919	35.99313582	0.033603002	51.78132943
475	0.738651577	35.99036375	0.033694458	51.81732116
476	0.737046669	35.98782906	0.033786125	51.85331023
477	0.735449137	35.98552684	0.033878	51.88929689
478	0.733858925	35.98345234	0.033970083	51.92528136
479	0.732275977	35.98160091	0.034062372	51.96126387
480	0.730700236	35.97996802	0.034154865	51.99724464
481	0.72913165	35.97854925	0.034247562	52.03322388
482	0.727570162	35.97734027	0.034340461	52.06920181
483	0.72601572	35.97633688	0.034433561	52.10517863
484	0.724468271	35.97553497	0.034526861	52.14115455
485	0.722927763	35.97493053	0.034620358	52.17712976
486	0.721394143	35.97451964	0.034714053	52.21310447
487	0.719867362	35.97429849	0.034807943	52.24907887
488	0.718347368	35.97426335	0.034902027	52.28505313
489	0.716834112	35.97441057	0.034996305	52.32102745
490	0.715327545	35.97473659	0.035090776	52.35700201
491	0.713827617	35.97523796	0.035185437	52.39297698
492	0.712334281	35.97591127	0.035280287	52.42895255
493	0.710847488	35.97675323	0.035375326	52.46492886
494	0.709367192	35.97776058	0.035470553	52.50090611
495	0.707893347	35.97893019	0.035565966	52.53688444
496	0.706425905	35.98025896	0.035661564	52.57286402
497	0.704964823	35.98174387	0.035757347	52.60884501
498	0.703510053	35.98338199	0.035853312	52.64482756
499	0.702061552	35.98517044	0.035949459	52.68081182
500	0.700619276	35.9871064	0.036045787	52.71679795
501	0.699183182	35.98918713	0.036142295	52.75278608
502	0.697753225	35.99140995	0.036238982	52.78877637
503	0.696329363	35.99377223	0.036335846	52.82476895
