T	den	cp	lambda	h
593	0.065630836	29.32347307	0.324772139	16.53352017
594	0.065520404	29.32442693	0.325250735	16.56284412
595	0.065410343	29.32538669	0.325729396	16.59216902
596	0.065300651	29.32635237	0.32620812	16.62149489
597	0.065191327	29.32732397	0.326686909	16.65082173
598	0.065082368	29.32830151	0.327165761	16.68014954
599	0.064973772	29.329285	0.327644677	16.70947833
600	0.064865539	29.33027446	0.328123657	16.73880811
601	0.064757665	29.33126988	0.3286027	16.76813889
602	0.06465015	29.33227128	0.329081808	16.79747066
603	0.064542991	29.33327867	0.329560979	16.82680343
604	0.064436187	29.33429207	0.330040215	16.85613721
605	0.064329736	29.33531147	0.330519514	16.88547202
606	0.064223635	29.33633689	0.330998877	16.91480784
607	0.064117885	29.33736834	0.331478303	16.94414469
608	0.064012482	29.33840582	0.331957794	16.97348258
609	0.063907425	29.33944935	0.332437349	17.00282151
610	0.063802712	29.34049894	0.332916967	17.03216148
611	0.063698342	29.34155458	0.333396649	17.06150251
612	0.063594313	29.34261629	0.333876395	17.09084459
613	0.063490623	29.34368408	0.334356205	17.12018774
614	0.063387271	29.34475795	0.334836078	17.14953196
615	0.063284255	29.34583791	0.335316016	17.17887726
616	0.063181573	29.34692397	0.335796017	17.20822364
617	0.063079224	29.34801613	0.336276082	17.23757111
618	0.062977206	29.34911441	0.336756211	17.26691967
619	0.062875517	29.3502188	0.337236404	17.29626934
620	0.062774156	29.35132932	0.33771666	17.32562011
621	0.062673122	29.35244597	0.338196981	17.354972
622	0.062572412	29.35356875	0.338677365	17.38432501
623	0.062472025	29.35469768	0.339157813	17.41367914
624	0.06237196	29.35583275	0.339638325	17.4430344
625	0.062272216	29.35697397	0.3401189	17.47239081
626	0.062172789	29.35812136	0.34059954	17.50174835
627	0.06207368	29.35927491	0.341080243	17.53110705
628	0.061974886	29.36043463	0.34156101	17.56046691
629	0.061876406	29.36160052	0.342041841	17.58982792
630	0.061778239	29.36277259	0.342522736	17.61919011
631	0.061680383	29.36395084	0.343003694	17.64855347
632	0.061582836	29.36513528	0.343484717	17.67791801
633	0.061485597	29.36632591	0.343965803	17.70728374
634	0.061388665	29.36752274	0.344446953	17.73665067
635	0.061292038	29.36872577	0.344928166	17.76601879
636	0.061195715	29.36993501	0.345409444	17.79538812
637	0.061099694	29.37115045	0.345890785	17.82475866
638	0.061003974	29.3723721	0.34637219	17.85413042
639	0.060908554	29.37359998	0.346853659	17.88350341
640	0.060813431	29.37483407	0.347335192	17.91287762
641	0.060718606	29.37607438	0.347816788	17.94225308
642	0.060624075	29.37732093	0.348298449	17.97162978
643	0.060529839	29.3785737	0.348780173	18.00100772
644	0.060435895	29.3798327	0.349261961	18.03038693
645	0.060342242	29.38109794	0.349743812	18.05976739
646	0.060248879	29.38236943	0.350225728	18.08914912
647	0.060155804	29.38364715	0.350707707	18.11853213
648	0.060063017	29.38493112	0.35118975	18.14791642
649	0.059970515	29.38622134	0.351671857	18.177302
650	0.059878298	29.3875178	0.352154027	18.20668886
651	0.059786364	29.38882053	0.352636262	18.23607703
652	0.059694712	29.3901295	0.35311856	18.26546651
653	0.059603341	29.39144474	0.353600922	18.29485729
654	0.059512249	29.39276624	0.354083347	18.3242494
655	0.059421434	29.394094	0.354565837	18.35364283
