T	den	cp	lambda	h
606	0.892311146	30.15959269	0.044270614	17.74473708
607	0.890841109	30.16563774	0.044327829	17.7748997
608	0.889375912	30.17169404	0.044385035	17.80506836
609	0.887915531	30.17776149	0.044442233	17.83524309
610	0.886459942	30.18384	0.044499424	17.86542389
611	0.885009122	30.18992947	0.044556606	17.89561077
612	0.883563047	30.19602981	0.044613781	17.92580375
613	0.882121693	30.20214092	0.044670948	17.95600284
614	0.880685039	30.2082627	0.044728106	17.98620804
615	0.87925306	30.21439506	0.044785257	18.01641937
616	0.877825734	30.22053791	0.0448424	18.04663683
617	0.876403038	30.22669115	0.044899535	18.07686045
618	0.874984951	30.23285468	0.044956662	18.10709022
619	0.873571448	30.23902842	0.045013781	18.13732616
620	0.872162509	30.24521226	0.045070893	18.16756828
621	0.870758111	30.25140612	0.045127996	18.19781659
622	0.869358233	30.2576099	0.045185091	18.22807109
623	0.867962851	30.26382351	0.045242179	18.25833181
624	0.866571946	30.27004685	0.045299258	18.28859874
625	0.865185494	30.27627983	0.04535633	18.31887191
626	0.863803476	30.28252236	0.045413394	18.34915131
627	0.862425869	30.28877435	0.04547045	18.37943695
628	0.861052652	30.2950357	0.045527497	18.40972886
629	0.859683805	30.30130631	0.045584537	18.44002703
630	0.858319307	30.30758611	0.045641569	18.47033147
631	0.856959137	30.31387499	0.045698593	18.5006422
632	0.855603274	30.32017287	0.045755609	18.53095923
633	0.854251698	30.32647965	0.045812617	18.56128255
634	0.852904388	30.33279524	0.045869617	18.59161219
635	0.851561325	30.33911956	0.045926609	18.62194815
636	0.850222489	30.3454525	0.045983593	18.65229043
637	0.848887859	30.35179399	0.046040569	18.68263905
638	0.847557415	30.35814392	0.046097537	18.71299402
639	0.846231139	30.36450221	0.046154497	18.74335534
640	0.84490901	30.37086877	0.046211449	18.77372303
641	0.843591008	30.37724352	0.046268393	18.80409708
642	0.842277116	30.38362635	0.046325329	18.83447752
643	0.840967313	30.39001718	0.046382257	18.86486434
644	0.83966158	30.39641593	0.046439177	18.89525756
645	0.838359899	30.4028225	0.046496088	18.92565717
646	0.83706225	30.40923681	0.046552992	18.9560632
647	0.835768615	30.41565876	0.046609887	18.98647565
648	0.834478975	30.42208828	0.046666774	19.01689452
649	0.833193312	30.42852526	0.046723653	19.04731983
650	0.831911608	30.43496964	0.046780524	19.07775158
651	0.830633843	30.44142131	0.046837387	19.10818977
652	0.82936	30.44788019	0.046894241	19.13863442
653	0.828090061	30.45434619	0.046951087	19.16908553
654	0.826824009	30.46081924	0.047007925	19.19954312
655	0.825561824	30.46729923	0.047064755	19.23000718
656	0.82430349	30.47378609	0.047121577	19.26047772
657	0.823048988	30.48027974	0.04717839	19.29095475
658	0.821798302	30.48678008	0.047235195	19.32143828
659	0.820551414	30.49328703	0.047291991	19.35192831
660	0.819308306	30.49980051	0.047348779	19.38242486
661	0.818068962	30.50632043	0.047405559	19.41292792
662	0.816833364	30.51284671	0.04746233	19.4434375
663	0.815601495	30.51937926	0.047519093	19.47395361
664	0.814373339	30.52591801	0.047575848	19.50447626
665	0.813148879	30.53246286	0.047632594	19.53500545
666	0.811928098	30.53901374	0.047689332	19.56554119
667	0.81071098	30.54557056	0.047746061	19.59608348
668	0.809497507	30.55213325	0.047802782	19.62663233
669	0.808287664	30.55870171	0.047859494	19.65718775
670	0.807081435	30.56527586	0.047916197	19.68774973
671	0.805878802	30.57185564	0.047972892	19.7183183
672	0.804679751	30.57844094	0.048029579	19.74889345
673	0.803484265	30.5850317	0.048086256	19.77947518
674	0.802292329	30.59162784	0.048142926	19.81006351
675	0.801103926	30.59822926	0.048199586	19.84065844
676	0.79991904	30.6048359	0.048256238	19.87125997
677	0.798737657	30.61144767	0.048312881	19.90186811
678	0.79755976	30.6180645	0.048369515	19.93248287
679	0.796385335	30.6246863	0.048426141	19.96310425
680	0.795214366	30.631313	0.048482757	19.99373224
681	0.794046837	30.63794451	0.048539365	20.02436687
682	0.792882733	30.64458077	0.048595964	20.05500814
683	0.791722041	30.65122169	0.048652555	20.08565604
684	0.790564743	30.65786719	0.048709136	20.11631058
685	0.789410826	30.6645172	0.048765708	20.14697177
686	0.788260275	30.67117164	0.048822272	20.17763962
687	0.787113075	30.67783044	0.048878826	20.20831412
688	0.785969212	30.68449351	0.048935372	20.23899528
689	0.78482867	30.69116079	0.048991908	20.26968311
690	0.783691436	30.69783219	0.049048436	20.3003776
691	0.782557495	30.70450764	0.049104954	20.33107877
692	0.781426832	30.71118707	0.049161463	20.36178662
693	0.780299434	30.71787041	0.049217963	20.39250115
694	0.779175287	30.72455757	0.049274454	20.42322236
695	0.778054376	30.73124848	0.049330936	20.45395026
696	0.776936687	30.73794308	0.049387409	20.48468486
697	0.775822207	30.74464128	0.049443872	20.51542615
698	0.774710921	30.75134301	0.049500326	20.54617414
699	0.773602817	30.75804821	0.049556771	20.57692884
700	0.77249788	30.7647568	0.049613206	20.60769024

